Term,Class,Table,OBIS,GBIF,EMODnet,OBIS.manual,SMBD.workshop
genus,taxon,Occurrence.Core,strongly recommended,NA,NA,NA,NA
genus,taxon,Occurrence,strongly recommended,NA,NA,NA,NA
kingdom,taxon,Occurrence.Core,strongly recommended,strongly recommended,NA,required,NA
kingdom,taxon,Occurrence,strongly recommended,strongly recommended,recommended,required,NA
order,taxon,Occurrence.Core,strongly recommended,NA,NA,NA,NA
order,taxon,Occurrence,strongly recommended,NA,NA,NA,NA
taxonID,taxon,Taxon.Core,NA,required,NA,NA,NA
scientificName,taxon,Taxon.Core,NA,required,NA,required,NA
taxonRank,taxon,Taxon.Core,NA,required,NA,NA,recommended
parentNameUsageID,taxon,Taxon.Core,NA,strongly recommended,NA,NA,NA
acceptedNameUsageID,taxon,Taxon.Core,NA,strongly recommended,NA,NA,NA
kingdom,taxon,Taxon.Core,NA,strongly recommended,NA,required,NA
