"","eventID","eventDate","locationID","decimalLatitude","decimalLongitude","minimumDepthInMeters","maximumDepthInMeters"
"1","2009-05-30_WM1200_OTMS","2009-05-30","WM1200",38.4,1.7833,1200,1200
"2","2009-06-01_WM2000_OTMS","2009-06-01","WM2000",38.038,1.9027,2000,2000
"3","2009-06-04_WM3000_OTMS","2009-06-04","WM3000",38.413,5.4199,2800,2800
"4","2009-06-07_CM1200_OTMS","2009-06-07","CM1200",38.2453,16.6663,1200,1200
"5","2009-05-30_WM1200_AD","2009-05-30","WM1200",38.4,1.7833,1200,1200
"6","2009-05-31_WM1200_AD","2009-05-31","WM1200",38.4,1.7833,1200,1200
"7","2009-06-01_WM2000_AD","2009-06-01","WM2000",38.038,1.9027,2000,2000
"8","2009-06-04_WM3000_AD","2009-06-04","WM3000",38.413,5.4199,2800,2800
