"Image_Filename","annotation_area_sqm","Porifera indet. ","Asconema msp 1","Caulophacus msp. 1","Cladorhizidae msp 1","Polychaeta indet. ","Polychaeta msp 1","Polychaeta msp 2","Polychaeta msp 3","Polychaeta msp 5","Actiniaria msp 1","Actiniaria msp 2","Zoantharia msp 1","Tubelariidae msp 1","Asteroidea msp. 1","Ophiuroidea","Elpidiidae msp 1","Polychaeta msp 4","Enteropneusta msp 1","Nemertea msp 1","Crustacea indet","Amphipoda indet. ","Amphipoda msp 1","Amphipoda msp 2","Amphipoda msp 3","Amphipoda msp 4","Amphipoda msp 5","Isopoda indet. ","Isopoda msp 1","Isopoda msp 2","Decapoda indet. ","Caridea msp 1","Caridea msp 2","Caridea msp 3","Caridea msp 4 (juveniles)","Bivalvia msp 1","Animal indet","Image unique ID","Cruise","Dive ID","Date/Time","Date","Time","Longitude (DD)","Latitude (DD)","Depth water (m)","Depth min","Depth max","Slope","Distance group","Annotator","Altitude/Image quality (0 to 3)","Overlap (e.g. Not annotated - overlap with previous image)","Hydrothermal vent field (Vent/Near Vent/Far)","Notes on observations","Annotation area","Habitat_description","Uncertainty_coordinates","EEZ","PA","Type of Record","Title","Institution","Sampling method","Device"
"TIMER_2019_10_07_at_10_17_15_IMG_0440.JPG",6.4664781834302,0,0,0.154643683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154643683,0,0.309287365,0,0,0,5437,"HACON2019","KH19_44_OFOBS07","2019-10-07T10:17:15","2019-10-07","10:17:15",-6.2461315,82.8972911,3892.9,3842.9,3942.9,13.91580868,"950m","José Santos",1,"Partial overlap (annotated)","Outside Vent Field","",1,"Muddy sediments | Accumulation of Spicule: Small coverage (<10%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_07_at_10_17_55_IMG_0442.JPG",8.1649588719716,0.489898365,0,0,0,0,0,0,0,0,0,0.244949182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5439,"HACON2019","KH19_44_OFOBS07","2019-10-07T10:17:55","2019-10-07","10:17:55",-6.24574863,82.89729707,3893.5,3843.5,3943.5,49.84458542,"950m","José Santos",2,"No overlap","Outside Vent Field","",1,"Muddy sediments | Accumulation of Spicule: Small coverage (<10%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_07_at_10_18_15_IMG_0443.JPG",6.8599516007056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145773623,0,0,0,5440,"HACON2019","KH19_44_OFOBS07","2019-10-07T10:18:15","2019-10-07","10:18:15",-6.245564,82.8973007,3894.2,3844.2,3944.2,49.84458542,"950m","José Santos",1,"Partial overlap (annotated)","Outside Vent Field","",1,"Muddy sediments",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_07_at_10_18_35_IMG_0444.JPG",5.836139037889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171346158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171346158,0,0,0,0,0,5441,"HACON2019","KH19_44_OFOBS07","2019-10-07T10:18:35","2019-10-07","10:18:35",-6.24536312,82.89730334,3894.2,3844.2,3944.2,49.84458542,"950m","José Santos",1,"Partial overlap (annotated)","Outside Vent Field","",1,"Muddy sediments",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_07_at_10_18_55_IMG_0445.JPG",6.7320769416381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594170274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148542568,0,0,0,0,0,5442,"HACON2019","KH19_44_OFOBS07","2019-10-07T10:18:55","2019-10-07","10:18:55",-6.24516504,82.89730608,3894.2,3844.2,3944.2,59.34619141,"950m","José Santos",1,"Partial overlap (annotated)","Outside Vent Field","",1,"Muddy sediments",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_07_at_10_19_15_IMG_0446.JPG",8.0481028734377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745517309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5443,"HACON2019","KH19_44_OFOBS07","2019-10-07T10:19:15","2019-10-07","10:19:15",-6.24497253,82.89730858,3895,3845,3945,59.34619141,"950m","José Santos",1,"Partial overlap (annotated)","Outside Vent Field","",1,"Muddy sediments",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_07_at_10_21_35_IMG_0454.JPG",13.871202898781,0,0.072091801,1.225560618,0,0,0,0,0,0,0.072091801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072091801,0,0,0,5450,"HACON2019","KH19_44_OFOBS07","2019-10-07T10:21:35","2019-10-07","10:21:35",-6.2436144,82.89734267,3898.1,3848.1,3948.1,26.89903259,"1000m","José Santos",2,"No overlap","Outside Vent Field","Vertical walls",1,"Hard substrate covered by a thin layer of muddy sediments (vertical walls of mostly basalts)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_07_at_13_25_43_IMG_0260.JPG",8.169088445757,0,0.244825358,0.122412679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5729,"HACON2019","KH19_45_OFOBS08","2019-10-07T13:25:43","2019-10-07","13:25:43",-6.30045712,82.89422072,3998.7,3948.7,4048.7,2.433138847,"50m","José Santos",1,"No overlap","Outside Vent Field","",1,"Muddy sediments | Accumulation of Spicule: Medium coverage (10%-50%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_07_at_13_26_03_IMG_0261.JPG",3.2762271539406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305229141,0,0,0,0,0,0,0,0,5730,"HACON2019","KH19_45_OFOBS08","2019-10-07T13:26:03","2019-10-07","13:26:03",-6.30035622,82.89425176,3998.7,3948.7,4048.7,77.89962769,"50m","José Santos",1,"Partial overlap (annotated)","Outside Vent Field","",1,"Muddy sediments | Accumulation of Spicule: Small coverage (<10%)",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
"TIMER_2019_10_07_at_13_26_23_IMG_0262.JPG",1.9963366270517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500917524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5731,"HACON2019","KH19_45_OFOBS08","2019-10-07T13:26:23","2019-10-07","13:26:23",-6.3000291,82.8942675,3986.7,3936.7,4036.7,77.89962769,"50m","José Santos",1,"Partial overlap (annotated)","Outside Vent Field","",1,"Muddy sediments",50,"DK","present","MachineObservation","Megafauna composition in Aurora seamount and hydrothermal vent field (High Arctic) identified during the 'HACON expedition 2019' with the RV Kronprins Haakon (cruise no. 2019708)","University of Aveiro","Seafloor images collected during the 'HACON expedition' with the RV Kronprins Haakon (cruise no. 2019708) (HK19) to the AURORA seamount, high Arctic, 19/09/2019 - 16/10/2019, https://doi.org/10.1594/PANGAEA.943364 ","Ocean Floor Observation and Bathymetry System (OFOBS)"
